scientific_name,state,state_abbreviation,country
Loxops caeruleirostris,Hawaii,HI,United States
Oreomystis bairdi,Hawaii,HI,United States
Peromyscus polionotus ammobates,Alabama,AL,United States
Sarracenia rubra ssp. alabamensis,Alabama,AL,United States
Lampsilis virescens,Tennessee,TN,United States
Lampsilis virescens,Alabama,AL,United States
Clematis socialis,Alabama,AL,United States
Clematis socialis,Georgia,GA,United States
Clematis socialis,Georgia,GA,United States
Clematis socialis,Alabama,AL,United States
Medionidus acutissimus,Alabama,AL,United States
Medionidus acutissimus,Georgia,GA,United States
Medionidus acutissimus,Tennessee,TN,United States
Medionidus acutissimus,Tennessee,TN,United States
Medionidus acutissimus,Alabama,AL,United States
Medionidus acutissimus,Mississippi,MS,United States
Medionidus acutissimus,Georgia,GA,United States
Medionidus acutissimus,Mississippi,MS,United States
Margaritifera marrianae,Alabama,AL,United States
Alligator mississippiensis,Florida,FL,United States
Alligator mississippiensis,Oklahoma,OK,United States
Alligator mississippiensis,North Carolina,NC,United States
Nicrophorus americanus,Rhode Island,RI,Canada
Nicrophorus americanus,Rhode Island,RI,United States
Nicrophorus americanus,Texas,TX,United States
Nicrophorus americanus,Texas,TX,Canada
Nicrophorus americanus,Massachusetts,MA,United States
Nicrophorus americanus,South Dakota,SD,United States
Nicrophorus americanus,Ohio,OH,United States
Nicrophorus americanus,Ohio,OH,Canada
Nicrophorus americanus,Arkansas,AR,United States
Nicrophorus americanus,Arkansas,AR,Canada
Nicrophorus americanus,Oklahoma,OK,United States
Nicrophorus americanus,Oklahoma,OK,Canada
Nicrophorus americanus,Kansas,KS,Canada
Nicrophorus americanus,Kansas,KS,United States
Nicrophorus americanus,Nebraska,NE,Canada
Nicrophorus americanus,Nebraska,NE,United States
Nicrophorus americanus,South Dakota,SD,Canada
Nicrophorus americanus,Massachusetts,MA,Canada
Crocodylus acutus,Florida,FL,United States
Peromyscus polionotus phasma,Florida,FL,United States
Oncorhynchus apache,Arizona,AZ,United States
Astragalus applegatei,California,CA,United States
Astragalus applegatei,Oregon,OR,United States
Echinocereus triglochidiatus var. arizonicus,Arizona,AZ,United States
Lampsilis powellii,Arkansas,AR,United States
Anaxyrus californicus,California,CA,United States
Cyprinodon nevadensis mionectes,Nevada,NV,United States
Grindelia fraxinipratensis,Nevada,NV,United States
Ivesia kingii var. eremica,Nevada,NV,United States
Astragalus phoenix,Nevada,NV,United States
Ambrysus amargosus,Nevada,NV,United States
Rhinichthys osculus nevadensis,Nevada,NV,United States
Fratercula arctica,Maine,ME,United States
Salmo salar,Maine,ME,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Louisiana,LA,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Florida,FL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Alabama,AL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Florida,FL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Mississippi,MS,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Mississippi,MS,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Mississippi,MS,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Alabama,AL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Alabama,AL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Florida,FL,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Louisiana,LA,United States
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Louisiana,LA,United States
Polyborus plancus audubonii,Florida,FL,United States
Eurycea waterlooensis,Texas,TX,United States
Aimophila aestivalis,Florida,FL,United States
Aimophila aestivalis,Virginia,VA,United States
Oceanodroma castro,Hawaii,HI,United States
Eurycea sosorum,Texas,TX,United States
Euphydryas editha bayensis,California,CA,United States
Layia carnosa,California,CA,United States
Goetzea elegans,Puerto Rico,PR,United States
Cyprinella formosa,Arizona,AZ,United States
Cyprinella formosa,New Mexico,NM,United States
Speyeria zerene behrensii,California,CA,United States
Cambarus aculabrum,Arkansas,AR,United States
Cambarus aculabrum,Missouri,MO,United States
Cambarus aculabrum,Arkansas,AR,United States
Cambarus aculabrum,Missouri,MO,United States
Gambusia gaigei,Texas,TX,United States
Faxonius peruncus,Missouri,MO,United States
Pterodroma hasitata,North Carolina,NC,United States
Pterodroma hasitata,Georgia,GA,United States
Pterodroma hasitata,South Carolina,SC,United States
Mustela nigripes,New Mexico,NM,United States
Mustela nigripes,New Mexico,NM,United States
Mustela nigripes,Montana,MT,United States
Mustela nigripes,Montana,MT,United States
Mustela nigripes,Colorado,CO,United States
Mustela nigripes,Colorado,CO,United States
Mustela nigripes,Kansas,KS,United States
Mustela nigripes,Kansas,KS,United States
Mustela nigripes,Arizona,AZ,United States
Mustela nigripes,Arizona,AZ,United States
Mustela nigripes,South Dakota,SD,United States
Mustela nigripes,South Dakota,SD,United States
Pituophis melanoleucus lodingi,Mississippi,MS,United States
Pituophis melanoleucus lodingi,Alabama,AL,United States
Laterallus jamaicensis,Indiana,IN,United States
Laterallus jamaicensis,Alabama,AL,United States
Laterallus jamaicensis,Connecticut,CT,United States
Laterallus jamaicensis,Pennsylvania,PA,United States
Laterallus jamaicensis,Virgin Islands,VI,United States
Laterallus jamaicensis,Maryland,MD,United States
Laterallus jamaicensis,Delaware,DE,United States
Laterallus jamaicensis,West Virginia,WV,United States
Laterallus jamaicensis,Colorado,CO,United States
Laterallus jamaicensis,Oklahoma,OK,United States
Laterallus jamaicensis,Kansas,KS,United States
Laterallus jamaicensis,Kentucky,KY,United States
Laterallus jamaicensis,Massachusetts,MA,United States
Laterallus jamaicensis,Texas,TX,United States
Laterallus jamaicensis,New York,NY,United States
Laterallus jamaicensis,Virginia,VA,United States
Laterallus jamaicensis,Rhode Island,RI,United States
Laterallus jamaicensis,Arkansas,AR,United States
Laterallus jamaicensis,Ohio,OH,United States
Laterallus jamaicensis,Georgia,GA,United States
Laterallus jamaicensis,Tennessee,TN,United States
Laterallus jamaicensis,South Carolina,SC,United States
Laterallus jamaicensis,Louisiana,LA,United States
Laterallus jamaicensis,Michigan,MI,United States
Laterallus jamaicensis,North Carolina,NC,United States
Laterallus jamaicensis,Iowa,IA,United States
Laterallus jamaicensis,Illinois,IL,United States
Laterallus jamaicensis,Florida,FL,United States
Laterallus jamaicensis,Mississippi,MS,United States
Laterallus jamaicensis,New Jersey,NJ,United States
Laterallus jamaicensis,Puerto Rico,PR,United States
Laterallus jamaicensis,Missouri,MO,United States
Chlidonias niger,Colorado,CO,United States
Chlidonias niger,Washington,WA,Canada
Chlidonias niger,Washington,WA,United States
Chlidonias niger,North Dakota,ND,Canada
Chlidonias niger,North Dakota,ND,United States
Chlidonias niger,Missouri,MO,Canada
Chlidonias niger,Missouri,MO,United States
Chlidonias niger,Idaho,ID,Canada
Chlidonias niger,Idaho,ID,United States
Chlidonias niger,Wisconsin,WI,Canada
Chlidonias niger,Wisconsin,WI,United States
Chlidonias niger,Kansas,KS,Canada
Chlidonias niger,Kansas,KS,United States
Chlidonias niger,New York,NY,Canada
Chlidonias niger,New York,NY,United States
Chlidonias niger,South Dakota,SD,Canada
Chlidonias niger,South Dakota,SD,United States
Chlidonias niger,Maine,ME,Canada
Chlidonias niger,Maine,ME,United States
Chlidonias niger,Nevada,NV,Canada
Chlidonias niger,Nevada,NV,United States
Chlidonias niger,Ohio,OH,Canada
Chlidonias niger,Ohio,OH,United States
Chlidonias niger,Indiana,IN,Canada
Chlidonias niger,Indiana,IN,United States
Chlidonias niger,Michigan,MI,Canada
Chlidonias niger,Michigan,MI,United States
Chlidonias niger,Utah,UT,Canada
Chlidonias niger,Utah,UT,United States
Chlidonias niger,Nebraska,NE,Canada
Chlidonias niger,Nebraska,NE,United States
Chlidonias niger,California,CA,Canada
Chlidonias niger,California,CA,United States
Chlidonias niger,Montana,MT,Canada
Chlidonias niger,Montana,MT,United States
Chlidonias niger,Illinois,IL,Canada
Chlidonias niger,Illinois,IL,United States
Chlidonias niger,Iowa,IA,Canada
Chlidonias niger,Iowa,IA,United States
Chlidonias niger,Wyoming,WY,Canada
Chlidonias niger,Wyoming,WY,United States
Chlidonias niger,Colorado,CO,Canada
Chlidonias niger,Oregon,OR,Canada
Chlidonias niger,Oregon,OR,United States
Chlidonias niger,Minnesota,MN,Canada
Chlidonias niger,Minnesota,MN,United States
Bufo exsul,California,CA,United States
Necturus alabamensis,Alabama,AL,United States
Penstemon haydenii,Wyoming,WY,United States
Penstemon haydenii,Nebraska,NE,United States
Gambelia silus,California,CA,United States
Clemmys muhlenbergii,New York,NY,United States
Clemmys muhlenbergii,South Carolina,SC,United States
Clemmys muhlenbergii,New Jersey,NJ,United States
Clemmys muhlenbergii,Massachusetts,MA,United States
Clemmys muhlenbergii,North Carolina,NC,United States
Clemmys muhlenbergii,Tennessee,TN,United States
Clemmys muhlenbergii,Pennsylvania,PA,United States
Clemmys muhlenbergii,Maryland,MD,United States
Clemmys muhlenbergii,Delaware,DE,United States
Clemmys muhlenbergii,Connecticut,CT,United States
Gila elegans,California,CA,United States
Gila elegans,Utah,UT,United States
Gila elegans,Arizona,AZ,United States
Gila elegans,Colorado,CO,United States
Gila elegans,Nevada,NV,United States
Numenius tahitiensis,American Samoa,AS,United States
Sorex ornatus relictus,California,CA,United States
Salvelinus confluentus,Oregon,OR,United States
Salvelinus confluentus,Idaho,ID,United States
Salvelinus confluentus,Montana,MT,United States
Salvelinus confluentus,Washington,WA,United States
Salvelinus confluentus,Nevada,NV,United States
Sagittaria fasciculata,South Carolina,SC,United States
Sagittaria fasciculata,North Carolina,NC,United States
Rallus longirostris obsoletus,California,CA,United States
Gymnogyps californianus,Arizona,AZ,United States
Gymnogyps californianus,Nevada,NV,United States
Gymnogyps californianus,Colorado,CO,United States
Gymnogyps californianus,California,CA,United States
Gymnogyps californianus,Utah,UT,United States
Sterna antillarum browni,California,CA,United States
Sterna antillarum browni,Arizona,AZ,United States
Rana draytonii,California,CA,United States
Rana draytonii,California,CA,United States
Suaeda californica,California,CA,United States
Suaeda californica,California,CA,United States
Ambystoma californiense,California,CA,United States
Ambystoma californiense,California,CA,United States
Ambystoma californiense,California,CA,United States
Speyeria callippe callippe,California,CA,United States
Lynx canadensis,Minnesota,MN,United States
Lynx canadensis,Vermont,VT,United States
Lynx canadensis,Colorado,CO,United States
Lynx canadensis,Michigan,MI,United States
Lynx canadensis,Utah,UT,United States
Lynx canadensis,Oregon,OR,United States
Lynx canadensis,Idaho,ID,United States
Lynx canadensis,Wisconsin,WI,United States
Lynx canadensis,New Mexico,NM,United States
Lynx canadensis,Montana,MT,United States
Lynx canadensis,New Hampshire,NH,United States
Lynx canadensis,Maine,ME,United States
Lynx canadensis,Washington,WA,United States
Lynx canadensis,Wyoming,WY,United States
Oxypolis canbyi,Georgia,GA,United States
Oxypolis canbyi,Maryland,MD,United States
Oxypolis canbyi,Delaware,DE,United States
Oxypolis canbyi,North Carolina,NC,United States
Oxypolis canbyi,South Carolina,SC,United States
Etheostoma osburni,West Virginia,WV,United States
Etheostoma osburni,Virginia,VA,United States
Ammodramus maritimus mirabilis,Florida,FL,United States
Lasmigona decorata,North Carolina,NC,United States
Lasmigona decorata,South Carolina,SC,United States
Dinacoma caseyi,California,CA,United States
Plethodon nettingi,West Virginia,WV,United States
Etheostoma scotti,Georgia,GA,United States
Gila nigrescens,New Mexico,NM,United States
Succinea chittenangoensis,New York,NY,United States
Noturus crypticus,Tennessee,TN,United States
Pleodendron macranthum,Puerto Rico,PR,United States
Eriogonum pelinophilum,Colorado,CO,United States
Eriogonum pelinophilum,Colorado,CO,United States
Eriogonum pelinophilum,Colorado,CO,United States
Eriogonum pelinophilum,Colorado,CO,United States
Phacelia argillacea,Utah,UT,United States
Pleurobema clava,Illinois,IL,United States
Pleurobema clava,Tennessee,TN,United States
Pleurobema clava,Ohio,OH,United States
Pleurobema clava,Indiana,IN,United States
Pleurobema clava,Michigan,MI,United States
Pleurobema clava,New York,NY,United States
Pleurobema clava,Kentucky,KY,United States
Pleurobema clava,West Virginia,WV,United States
Pleurobema clava,Pennsylvania,PA,United States
Pleurobema clava,Mississippi,MS,United States
Uma inornata,California,CA,United States
Stahlia monosperma,Puerto Rico,PR,United States
Sclerocactus glaucus,Colorado,CO,United States
Sclerocactus glaucus,Colorado,CO,United States
Ptychocheilus lucius,New Mexico,NM,United States
Ptychocheilus lucius,Utah,UT,United States
Ptychocheilus lucius,California,CA,United States
Ptychocheilus lucius,Colorado,CO,United States
Ptychocheilus lucius,Wyoming,WY,United States
Ptychocheilus lucius,Arizona,AZ,United States
Brachylagus idahoensis,Washington,WA,United States
Odocoileus virginianus leucurus,Washington,WA,United States
Odocoileus virginianus leucurus,Oregon,OR,United States
Dalea reverchonii,Texas,TX,United States
Cyprinodon elegans,Texas,TX,United States
Sterna hirundo,Wisconsin,WI,United States
Sterna hirundo,New York,NY,Canada
Sterna hirundo,New York,NY,Canada
Sterna hirundo,New York,NY,United States
Sterna hirundo,Wisconsin,WI,United States
Sterna hirundo,New York,NY,United States
Sterna hirundo,Wisconsin,WI,Canada
Sterna hirundo,Wisconsin,WI,Canada
Sterna hirundo,Illinois,IL,United States
Sterna hirundo,Michigan,MI,Canada
Sterna hirundo,Michigan,MI,Canada
Sterna hirundo,Michigan,MI,United States
Sterna hirundo,Michigan,MI,United States
Sterna hirundo,Indiana,IN,Canada
Sterna hirundo,Indiana,IN,Canada
Sterna hirundo,Indiana,IN,United States
Sterna hirundo,Indiana,IN,United States
Sterna hirundo,Ohio,OH,Canada
Sterna hirundo,Ohio,OH,Canada
Sterna hirundo,Pennsylvania,PA,United States
Sterna hirundo,Pennsylvania,PA,United States
Sterna hirundo,Pennsylvania,PA,Canada
Sterna hirundo,Pennsylvania,PA,Canada
Sterna hirundo,Minnesota,MN,United States
Sterna hirundo,Minnesota,MN,United States
Sterna hirundo,Minnesota,MN,Canada
Sterna hirundo,Ohio,OH,United States
Sterna hirundo,Minnesota,MN,Canada
Sterna hirundo,Ohio,OH,United States
Sterna hirundo,Illinois,IL,Canada
Sterna hirundo,Illinois,IL,United States
Sterna hirundo,Illinois,IL,Canada
Geothlypis trichas sinuosa,California,CA,United States
Lomatium cookii,Oregon,OR,United States
Accipiter cooperii,California,CA,United States
Medionidus parvulus,Alabama,AL,United States
Medionidus parvulus,Georgia,GA,United States
Medionidus parvulus,Tennessee,TN,United States
Nerodia erythrogaster neglecta,Indiana,IN,United States
Nerodia erythrogaster neglecta,Ohio,OH,United States
Nerodia erythrogaster neglecta,Michigan,MI,United States
Villosa trabalis,Tennessee,TN,United States
Villosa trabalis,Kentucky,KY,United States
Etheostoma susanae,Tennessee,TN,United States
Etheostoma susanae,Kentucky,KY,United States
Epioblasma brevidens,Tennessee,TN,United States
Epioblasma brevidens,Virginia,VA,United States
Epioblasma brevidens,Virginia,VA,United States
Epioblasma brevidens,Kentucky,KY,United States
Epioblasma brevidens,Kentucky,KY,United States
Epioblasma brevidens,Mississippi,MS,United States
Epioblasma brevidens,Mississippi,MS,United States
Epioblasma brevidens,Tennessee,TN,United States
Pleurobema gibberum,Tennessee,TN,United States
Hesperia dacotae,South Dakota,SD,Canada
Hesperia dacotae,North Dakota,ND,Canada
Hesperia dacotae,Minnesota,MN,United States
Hesperia dacotae,North Dakota,ND,United States
Hesperia dacotae,Minnesota,MN,Canada
Hesperia dacotae,Iowa,IA,United States
Hesperia dacotae,South Dakota,SD,United States
Hesperia dacotae,Iowa,IA,Canada
Phacelia submutica,Colorado,CO,United States
Phacelia submutica,Colorado,CO,United States
Rhaphiomidas terminatus abdominalis,California,CA,United States
Elaphrus viridis,California,CA,United States
Hypomesus transpacificus,California,CA,United States
Cyprinodon macularius,Arizona,AZ,United States
Cyprinodon macularius,Arizona,AZ,United States
Cyprinodon macularius,Arizona,AZ,United States
Cyprinodon macularius,California,CA,United States
Cyprinodon macularius,California,CA,United States
Cyprinodon macularius,California,CA,United States
Gopherus agassizii,Arizona,AZ,United States
Gopherus agassizii,Arizona,AZ,United States
Gopherus agassizii,California,CA,United States
Gopherus agassizii,Utah,UT,United States
Gopherus agassizii,Utah,UT,United States
Gopherus agassizii,California,CA,United States
Gopherus agassizii,Nevada,NV,United States
Gopherus agassizii,Nevada,NV,United States
Gopherus agassizii,Arizona,AZ,United States
Gopherus agassizii,Arizona,AZ,United States
Gopherus agassizii,Oregon,OR,United States
Gopherus agassizii,Oregon,OR,United States
Cyprinodon diabolis,Nevada,NV,United States
Dionda diaboli,Texas,TX,United States
Crystallaria cincotta,Tennessee,TN,United States
Crystallaria cincotta,West Virginia,WV,United States
Salvelinus malma,Washington,WA,United States
Dromus dromas,Kentucky,KY,United States
Dromus dromas,Virginia,VA,United States
Dromus dromas,Virginia,VA,United States
Dromus dromas,Tennessee,TN,United States
Dromus dromas,Tennessee,TN,United States
Dromus dromas,Alabama,AL,United States
Dromus dromas,Alabama,AL,United States
Dromus dromas,Kentucky,KY,United States
Lesquerella congesta,Colorado,CO,United States
Lesquerella congesta,Colorado,CO,United States
Physaria obcordata,Colorado,CO,United States
Physaria obcordata,Colorado,CO,United States
Rana sevosa,Alabama,AL,United States
Rana sevosa,Mississippi,MS,United States
Alasmidonta heterodon,Massachusetts,MA,Canada
Alasmidonta heterodon,Virginia,VA,United States
Alasmidonta heterodon,Virginia,VA,Canada
Alasmidonta heterodon,New Jersey,NJ,United States
Alasmidonta heterodon,New Jersey,NJ,Canada
Alasmidonta heterodon,New Hampshire,NH,United States
Alasmidonta heterodon,New Hampshire,NH,Canada
Alasmidonta heterodon,Vermont,VT,United States
Alasmidonta heterodon,Vermont,VT,Canada
Alasmidonta heterodon,North Carolina,NC,United States
Alasmidonta heterodon,North Carolina,NC,Canada
Alasmidonta heterodon,Connecticut,CT,United States
Alasmidonta heterodon,Pennsylvania,PA,Canada
Alasmidonta heterodon,Pennsylvania,PA,United States
Alasmidonta heterodon,Maryland,MD,Canada
Alasmidonta heterodon,Maryland,MD,United States
Alasmidonta heterodon,Connecticut,CT,Canada
Alasmidonta heterodon,New York,NY,United States
Alasmidonta heterodon,New York,NY,Canada
Alasmidonta heterodon,Massachusetts,MA,United States
Laterallus jamaicensis ssp. jamaicensis,New York,NY,United States
Laterallus jamaicensis ssp. jamaicensis,Massachusetts,MA,United States
Laterallus jamaicensis ssp. jamaicensis,Texas,TX,United States
Laterallus jamaicensis ssp. jamaicensis,Virginia,VA,United States
Laterallus jamaicensis ssp. jamaicensis,Kentucky,KY,United States
Laterallus jamaicensis ssp. jamaicensis,Kansas,KS,United States
Laterallus jamaicensis ssp. jamaicensis,Puerto Rico,PR,United States
Laterallus jamaicensis ssp. jamaicensis,Minnesota,MN,United States
Laterallus jamaicensis ssp. jamaicensis,Pennsylvania,PA,United States
Laterallus jamaicensis ssp. jamaicensis,Maryland,MD,United States
Laterallus jamaicensis ssp. jamaicensis,Virgin Islands,VI,United States
Laterallus jamaicensis ssp. jamaicensis,Colorado,CO,United States
Laterallus jamaicensis ssp. jamaicensis,Delaware,DE,United States
Laterallus jamaicensis ssp. jamaicensis,Illinois,IL,United States
Laterallus jamaicensis ssp. jamaicensis,Mississippi,MS,United States
Laterallus jamaicensis ssp. jamaicensis,West Virginia,WV,United States
Laterallus jamaicensis ssp. jamaicensis,Oklahoma,OK,United States
Laterallus jamaicensis ssp. jamaicensis,Florida,FL,United States
Laterallus jamaicensis ssp. jamaicensis,Tennessee,TN,United States
Laterallus jamaicensis ssp. jamaicensis,Georgia,GA,United States
Laterallus jamaicensis ssp. jamaicensis,Ohio,OH,United States
Laterallus jamaicensis ssp. jamaicensis,Arkansas,AR,United States
Laterallus jamaicensis ssp. jamaicensis,Vermont,VT,United States
Laterallus jamaicensis ssp. jamaicensis,Rhode Island,RI,United States
Laterallus jamaicensis ssp. jamaicensis,Alabama,AL,United States
Laterallus jamaicensis ssp. jamaicensis,Nebraska,NE,United States
Laterallus jamaicensis ssp. jamaicensis,Michigan,MI,United States
Laterallus jamaicensis ssp. jamaicensis,Indiana,IN,United States
Laterallus jamaicensis ssp. jamaicensis,Louisiana,LA,United States
Laterallus jamaicensis ssp. jamaicensis,South Carolina,SC,United States
Laterallus jamaicensis ssp. jamaicensis,New Jersey,NJ,United States
Laterallus jamaicensis ssp. jamaicensis,New Hampshire,NH,United States
Laterallus jamaicensis ssp. jamaicensis,Connecticut,CT,United States
Laterallus jamaicensis ssp. jamaicensis,Wisconsin,WI,United States
Laterallus jamaicensis ssp. jamaicensis,Missouri,MO,United States
Laterallus jamaicensis ssp. jamaicensis,New Mexico,NM,United States
Laterallus jamaicensis ssp. jamaicensis,North Carolina,NC,United States
Cryptobranchus alleganiensis alleganiensis,Missouri,MO,United States
Drymarchon corais couperi,Georgia,GA,United States
Drymarchon corais couperi,Alabama,AL,United States
Drymarchon corais couperi,Florida,FL,United States
Sistrurus catenatus,Pennsylvania,PA,Canada
Sistrurus catenatus,Ohio,OH,Canada
Sistrurus catenatus,Ohio,OH,United States
Sistrurus catenatus,New York,NY,Canada
Sistrurus catenatus,New York,NY,United States
Sistrurus catenatus,Wisconsin,WI,Canada
Sistrurus catenatus,Wisconsin,WI,United States
Sistrurus catenatus,Indiana,IN,Canada
Sistrurus catenatus,Indiana,IN,United States
Sistrurus catenatus,Pennsylvania,PA,United States
Sistrurus catenatus,Iowa,IA,Canada
Sistrurus catenatus,Iowa,IA,United States
Sistrurus catenatus,Illinois,IL,Canada
Sistrurus catenatus,Illinois,IL,United States
Sistrurus catenatus,Michigan,MI,Canada
